product_name,page,avg_price,rating,comments_num,sold_num,style_num,img_num,description_len,remain_num,transport_free,seller_name,product_num,watching,response_rating,canceled_rate,follower_num,comment_rating,comment_num
/??任選5件680??高品質潮T-純棉圓領短袖T恤-FILA-印花T恤-男裝-大尺碼短T-大尺寸男T-現貨出售-i.199006536.7417997413,0,158,4.9,40,522,10,5,473,5083,1399,dssss455eeds5,27,314,0.97,0.03,705,4.8,(505個評價)
/【現貨】落肩-素色上衣-短袖上衣-潮流T恤-寬版-五分袖-五分T-男裝-男生衣著(LPK02)-i.199879395.7518983725,0,166,4.6,7,27,3,5,137,1081,199,m0979769858,404,4,0.98,,838,4.8,(506個評價)
/TaiChi-素T-10支精梳棉台灣最重磅超硬挺100-純棉-8.8oz-ARMOUR版型-i.17719770.1437701626,0,490,4.9,224,549,10,5,782,111,,taichi.tshirt,17,5,0.97,,565,5,(842個評價)
/加大尺碼M-5XL-現貨促銷-男生短褲-運動褲-跑步-休閑褲-速幹-舒適透氣-五分褲-慢跑褲-韓版褲子-i.38606473.3819735358,0,139,5,1,1,2,5,446,69997,299,lanxianer,2188,5000,1,0.03,"7,647",4.8,(1.7萬個評價)
/正品-GUCCI-古馳-短袖套裝-短袖-短T-短袖T恤-圓領-古馳套裝-刺繡logo-金絲刺繡-短褲-中分褲-五分短套-i.69524483.2361838336,0,3299,5,27,50,10,5,224,1901,,gina_0900,337,3,0.99,,149,4.8,(414個評價)
/【SKR六六六】韓國-JUST-DO-NOT-短袖上衣-落肩-寬鬆-勾勾-健康布-塗鴉-翻玩-短T-男裝-男生衣著-i.126860707.7912799111,0,260,4.9,192,616,6,5,773,137,99,akaskr,340,3,1,0.04,"5,435",4.9,"(5,871個評價)"
/男士短袖t恤-夏季學生韓版上衣-寬松原宿風情侶裝-七分袖短袖男上衣-T恤男生衣著-休?棉?短袖T恤-高?量T恤-i.101701319.2237359606,0,169,4.8,131,280,12,5,556,3781,299,ruibu2018,2363,3000,1,0.03,1.4萬,4.7,(1.8萬個評價)
/2020夏季新款-T033潮牌短袖T恤男-韓版潮流寬鬆百搭圓領短袖T恤-學生情侶裝印花短T上衣-男生衣著-休?短袖上衣-i.101701319.5113370622,0,99,4.7,36,72,3,5,1393,790,299,ruibu2018,2363,3000,1,0.03,1.4萬,4.7,(1.8萬個評價)
/【SKR六六六】翻玩-蠟筆三葉草-短袖上衣-落肩-寬鬆-FREESIZE-五分袖-情侶-短T-現貨-男裝-男生衣著-i.126860707.4417334455,0,260,5,21,48,4,5,759,150,,akaskr,340,3,1,0.04,"5,435",4.9,"(5,871個評價)"
/虧本清倉價！Levi's短袖上衣-圓領上衣-男生女生短袖衣服-情侶裝-大學T短T正韓衣著-休閒T恤-大呎碼-素T-i.85611600.1872056579,0,187,4.7,187,733,10,5,463,29167,1000,mat2tay,481,2528,1,,"5,688",4.8,"(1,625個評價)"
